Loss_Train,Loss_Val,MCC_Train,MCC_Val,Epoch
25.278717428445816,"tensor(0.4454, device='cuda:0')",0.0063023602527217835,0.0,0
22.98429623246193,"tensor(0.3810, device='cuda:0')",0.0,0.0,1
20.435243278741837,"tensor(0.3331, device='cuda:0')",0.0,0.0,2
18.49307617545128,"tensor(0.3076, device='cuda:0')",0.0,0.0,3
25.135378122329712,"tensor(0.2449, device='cuda:0')",0.012039748964911256,0.0,0
22.73792301118374,"tensor(0.2446, device='cuda:0')",0.0,0.0,1
22.58575740456581,"tensor(0.2444, device='cuda:0')",0.0,0.0,2
22.562534794211388,"tensor(0.2443, device='cuda:0')",0.0,0.0,3
22.577970296144485,"tensor(0.2441, device='cuda:0')",0.0,0.0,4
118.02087569236755,"tensor(1.0771, device='cuda:0')",-0.007404412946925877,0.003524791853351251,0
115.25215005874634,"tensor(1.0648, device='cuda:0')",-0.029612238434412814,-0.02638254814165564,1
112.34627497196198,"tensor(1.0856, device='cuda:0')",-0.027792953558249477,-0.00019696686434768647,2
110.27028030157089,"tensor(1.1264, device='cuda:0')",-0.042847842192808454,-0.003949556656387435,3
107.16471034288406,"tensor(1.1500, device='cuda:0')",-0.05504844578517064,-0.030225067614272582,4
117.59013235569,"tensor(1.0897, device='cuda:0')",0.0019200430884386342,0.012742395583289396,0
116.67690593004227,"tensor(1.0750, device='cuda:0')",-0.005574879851032312,-0.017639989382126957,1
119.86650085449219,"tensor(1.0859, device='cuda:0')",-0.0026086756281050913,0.023443346496977057,0
116.98139172792435,"tensor(1.2388, device='cuda:0')",-0.013150221324238556,-0.014816886879325905,1
116.46555209159851,"tensor(1.0861, device='cuda:0')",-0.016989232473443916,-0.01338485462825603,2
119.84164214134216,"tensor(1.0844, device='cuda:0')",-0.0038828357574302997,0.029322236085658912,0
118.11624103784561,"tensor(1.0857, device='cuda:0')",-0.015304555552458115,0.026984466914781492,1
117.19646543264389,"tensor(1.0888, device='cuda:0')",-0.028189422879305513,-0.030054213555710703,2
115.21259045600891,"tensor(1.1120, device='cuda:0')",-0.018655221420770408,-0.00711159223846511,3
